Fname,Minit,Lname,Ssn,Bdate,Address,Sex,Salary,Dno
Yevette,F,Hinckesman,354-99-7241,1985-07-13,3557 Spenser Point,F,45000,9
Tove,G,McBrearty,260-72-7977,1963-01-21,089 La Follette Drive,F,66000,36
Dalston,N,di Rocca,497-41-6011,1992-06-19,57 Lerdahl Crossing,M,39000,11
Keane,P,Gadsby,421-34-5256,1984-12-07,58682 Green Way,M,34000,16
Arney,J,Gebbie,654-92-1250,1975-02-10,8 Pepper Wood Alley,M,35000,11
Torey,P,Teasdale,173-45-2030,1990-09-07,76 Mifflin Drive,M,35000,16
Lisha,,Knappett,505-10-2053,1972-05-08,2 Lotheville Lane,F,31000,34
Veradis,B,Cary,416-67-5992,1971-05-21,382 Village Drive,F,45000,46
Corby,S,Ranson,852-15-6348,1975-01-29,47410 Kensington Lane,M,50000,25
Ettore,M,Middleweek,639-90-7844,1962-11-25,31277 Debs Lane,M,68000,23
Isa,B,Woolvett,680-02-5934,1997-07-08,54 Dovetail Place,F,66000,13
Brenda,J,Littlecote,547-04-4895,1972-01-06,755 Pennsylvania Drive,F,92000,13
Samuele,,Rand,694-47-0904,1997-04-22,81981 Dunning Crossing,M,40000,3
Erek,N,Dobrowolski,642-02-1381,1985-10-09,3 Forster Place,M,63000,10
Nanci,A,Tolputt,485-58-6728,1973-08-23,9 Onsgard Circle,F,83000,16
Bobbye,,Risman,367-97-1984,1963-06-19,4 Stoughton Park,F,46000,14
Daveen,D,Barbrook,128-80-9188,1964-12-01,4 Calypso Avenue,F,28000,6
Hogan,T,Barnish,240-76-9492,1972-09-21,3570 Lindbergh Place,M,94000,28
Riordan,K,Westcar,245-66-1271,1990-11-08,7 Mayer Circle,M,83000,6
Erek,C,Franck,244-18-9781,1977-10-15,22775 Waubesa Road,M,40000,29
Hazlett,K,Spring,464-55-2055,1971-02-20,624 Hansons Circle,M,58000,27
Garrott,T,Wrench,556-04-2656,1964-01-10,38 Weeping Birch Hill,M,82000,15
Elmo,A,Aubry,629-13-2865,1996-10-10,3 Anthes Road,M,85000,6
Nickolaus,,Winwood,142-17-6855,1996-02-15,83078 Dorton Park,M,58000,18
Latrena,R,Mawtus,165-06-4419,1966-05-09,83 Meadow Vale Place,F,67000,21
Rosalinde,R,Iacopini,722-02-7700,1986-06-27,2278 Sachs Court,F,28000,6
Antonino,U,Methven,876-09-0108,1962-08-03,22719 Grayhawk Alley,M,88000,6
Bard,,Peacop,566-49-6775,1991-10-28,46033 Mallard Crossing,M,48000,10
Chaunce,H,Nitto,642-62-5972,1961-04-22,4 Delladonna Alley,M,36000,11
Julina,B,Will,870-21-0711,1961-02-05,181 School Crossing,F,31000,12
Ailene,L,Fearn,784-72-5066,1975-08-23,4061 Summit Avenue,F,31000,10
Fredric,B,Rubinov,832-44-6331,1979-08-13,3 New Castle Park,M,44000,19
Suzanne,C,Roads,277-89-2456,1988-10-31,202 Springview Crossing,F,93000,10
Keen,,Stoppard,234-43-1739,1970-05-17,15 Drewry Crossing,M,78000,20
Conroy,C,Campling,629-54-0790,1978-06-04,94712 Randy Hill,M,62000,10
Fax,C,Cleary,449-57-9235,1983-02-14,27 Straubel Plaza,M,79000,18
Elie,B,Rathbone,281-20-7042,1961-12-07,1 Arizona Avenue,F,29000,6
Rodina,H,Edel,125-18-2873,1990-04-06,3 Shoshone Drive,F,55000,2
Lynn,I,Eadington,850-93-5796,1969-08-14,04305 Elmside Center,F,93000,6
Geoffry,N,Harriott,172-62-5338,1960-12-10,373 Lien Circle,M,55000,13
Whitby,S,Chambers,378-75-1597,1976-01-19,71 Springs Trail,M,31000,16
Ilka,L,Archdeacon,670-54-4344,1992-07-01,26410 Meadow Valley Crossing,F,86000,18
Xylia,A,Sturges,385-46-1585,1969-10-02,46128 Fremont Lane,F,65000,6
Tab,H,Spellacey,786-48-1459,1986-07-30,46 Nobel Way,M,88000,35
Cortie,J,Fache,329-73-1556,1965-10-16,066 Oriole Avenue,M,88000,33
Vail,P,Dalrymple,435-54-2316,1982-03-26,43512 Redwing Crossing,M,25000,20
Patric,A,Egiloff,232-34-3881,1979-10-02,358 Northfield Drive,M,90000,21
Dawna,A,Powys,793-84-2604,1983-04-01,456 Sutherland Crossing,F,62000,24
Otto,G,Boatman,596-30-1799,1976-05-06,1 Golf Trail,M,28000,4
Barnaby,A,Dightham,353-98-7443,1997-07-30,6678 Mesta Parkway,M,40000,13
Veradis,L,Choat,751-85-3924,1992-03-16,572 Darwin Point,F,54000,10
Marji,J,Pakes,230-92-4343,1983-11-10,1293 Michigan Hill,F,54000,10
Pennie,D,Lording,849-39-5990,1979-06-30,4 Northport Court,F,64000,18
Kiel,,Capaldi,770-40-5760,1993-01-02,363 La Follette Center,M,28000,14
Imogene,H,Allaway,682-42-9949,1973-10-16,947 Corry Parkway,F,79000,18
Vergil,H,Weson,494-33-4095,1994-01-20,71910 Northfield Terrace,M,27000,18
Eve,C,Millin,136-68-7269,1961-01-18,65600 Ryan Parkway,F,71000,29
Carlye,K,Hurlestone,562-25-4327,1986-01-27,533 Vera Drive,F,31000,2
Jaquenette,C,Vale,748-85-6567,1963-07-04,3145 Sundown Alley,F,63000,7
Laetitia,E,Koppke,843-56-2894,1984-07-30,188 Autumn Leaf Terrace,F,88000,18
Pen,D,Barszczewski,672-24-9457,1969-11-30,65 Pleasure Park,F,76000,18
Anton,M,Drust,362-25-1290,1994-05-22,3 Mosinee Plaza,M,68000,16
Merill,G,Rosina,642-63-5863,1971-10-14,872 Jana Avenue,M,42000,3
